sample_id,asset,split,input_start_date,input_end_date,target_date,current_label,target_label,target_code
80,GLD,train,2012-10-10,2012-11-23,2012-11-30,Bull,Bull,2
81,QQQ,train,2012-10-10,2012-11-23,2012-11-30,Neutral,Neutral,1
82,SPY,train,2012-10-10,2012-11-23,2012-11-30,Bear,Bear,0
83,TLT,train,2012-10-10,2012-11-23,2012-11-30,Neutral,Neutral,1
84,GLD,train,2012-10-17,2012-11-30,2012-12-07,Bull,Bull,2
85,QQQ,train,2012-10-17,2012-11-30,2012-12-07,Neutral,Neutral,1
86,SPY,train,2012-10-17,2012-11-30,2012-12-07,Bear,Bear,0
87,TLT,train,2012-10-17,2012-11-30,2012-12-07,Neutral,Bull,2
88,GLD,train,2012-10-24,2012-12-07,2012-12-14,Bull,Bull,2
89,QQQ,train,2012-10-24,2012-12-07,2012-12-14,Neutral,Neutral,1
90,SPY,train,2012-10-24,2012-12-07,2012-12-14,Bear,Bear,0
91,TLT,train,2012-10-24,2012-12-07,2012-12-14,Bull,Bull,2
92,GLD,train,2012-11-02,2012-12-14,2012-12-21,Bull,Neutral,1
93,QQQ,train,2012-11-02,2012-12-14,2012-12-21,Neutral,Bear,0
94,SPY,train,2012-11-02,2012-12-14,2012-12-21,Bear,Bear,0
95,TLT,train,2012-11-02,2012-12-14,2012-12-21,Bull,Neutral,1
96,GLD,train,2012-11-09,2012-12-21,2012-12-31,Neutral,Neutral,1
97,QQQ,train,2012-11-09,2012-12-21,2012-12-31,Bear,Bear,0
98,SPY,train,2012-11-09,2012-12-21,2012-12-31,Bear,Bear,0
99,TLT,train,2012-11-09,2012-12-21,2012-12-31,Neutral,Neutral,1
100,GLD,train,2012-11-16,2012-12-31,2013-01-08,Neutral,Neutral,1
101,QQQ,train,2012-11-16,2012-12-31,2013-01-08,Bear,Bear,0
102,SPY,train,2012-11-16,2012-12-31,2013-01-08,Bear,Bear,0
103,TLT,train,2012-11-16,2012-12-31,2013-01-08,Neutral,Bear,0
104,GLD,train,2012-11-26,2013-01-08,2013-01-15,Neutral,Neutral,1
105,QQQ,train,2012-11-26,2013-01-08,2013-01-15,Bear,Neutral,1
106,SPY,train,2012-11-26,2013-01-08,2013-01-15,Bear,Bull,2
107,TLT,train,2012-11-26,2013-01-08,2013-01-15,Bear,Bear,0
108,GLD,train,2012-12-03,2013-01-15,2013-01-23,Neutral,Neutral,1
109,QQQ,train,2012-12-03,2013-01-15,2013-01-23,Neutral,Neutral,1
110,SPY,train,2012-12-03,2013-01-15,2013-01-23,Bull,Bull,2
111,TLT,train,2012-12-03,2013-01-15,2013-01-23,Bear,Bear,0
112,GLD,train,2012-12-10,2013-01-23,2013-01-30,Neutral,Neutral,1
113,QQQ,train,2012-12-10,2013-01-23,2013-01-30,Neutral,Neutral,1
114,SPY,train,2012-12-10,2013-01-23,2013-01-30,Bull,Bull,2
115,TLT,train,2012-12-10,2013-01-23,2013-01-30,Bear,Bear,0
116,GLD,train,2012-12-17,2013-01-30,2013-02-06,Neutral,Neutral,1
117,QQQ,train,2012-12-17,2013-01-30,2013-02-06,Neutral,Bear,0
118,SPY,train,2012-12-17,2013-01-30,2013-02-06,Bull,Bull,2
119,TLT,train,2012-12-17,2013-01-30,2013-02-06,Bear,Bear,0
120,GLD,train,2012-12-24,2013-02-06,2013-02-13,Neutral,Neutral,1
121,QQQ,train,2012-12-24,2013-02-06,2013-02-13,Bear,Bear,0
122,SPY,train,2012-12-24,2013-02-06,2013-02-13,Bull,Bull,2
123,TLT,train,2012-12-24,2013-02-06,2013-02-13,Bear,Bear,0
124,GLD,train,2013-01-02,2013-02-13,2013-02-21,Neutral,Bear,0
125,QQQ,train,2013-01-02,2013-02-13,2013-02-21,Bear,Bear,0
126,SPY,train,2013-01-02,2013-02-13,2013-02-21,Bull,Bull,2
127,TLT,train,2013-01-02,2013-02-13,2013-02-21,Bear,Bear,0
128,GLD,train,2013-01-09,2013-02-21,2013-02-28,Bear,Bear,0
129,QQQ,train,2013-01-09,2013-02-21,2013-02-28,Bear,Bear,0
130,SPY,train,2013-01-09,2013-02-21,2013-02-28,Bull,Bull,2
131,TLT,train,2013-01-09,2013-02-21,2013-02-28,Bear,Bear,0
132,GLD,train,2013-01-16,2013-02-28,2013-03-07,Bear,Bear,0
133,QQQ,train,2013-01-16,2013-02-28,2013-03-07,Bear,Bear,0
134,SPY,train,2013-01-16,2013-02-28,2013-03-07,Bull,Bull,2
135,TLT,train,2013-01-16,2013-02-28,2013-03-07,Bear,Bear,0
136,GLD,train,2013-01-24,2013-03-07,2013-03-14,Bear,Bear,0
137,QQQ,train,2013-01-24,2013-03-07,2013-03-14,Bear,Bull,2
138,SPY,train,2013-01-24,2013-03-07,2013-03-14,Bull,Bull,2
139,TLT,train,2013-01-24,2013-03-07,2013-03-14,Bear,Bear,0
140,GLD,train,2013-01-31,2013-03-14,2013-03-21,Bear,Bear,0
141,QQQ,train,2013-01-31,2013-03-14,2013-03-21,Bull,Bull,2
142,SPY,train,2013-01-31,2013-03-14,2013-03-21,Bull,Bull,2
143,TLT,train,2013-01-31,2013-03-14,2013-03-21,Bear,Bear,0
144,GLD,train,2013-02-07,2013-03-21,2013-03-28,Bear,Bear,0
145,QQQ,train,2013-02-07,2013-03-21,2013-03-28,Bull,Bull,2
146,SPY,train,2013-02-07,2013-03-21,2013-03-28,Bull,Bull,2
147,TLT,train,2013-02-07,2013-03-21,2013-03-28,Bear,Bear,0
148,GLD,train,2013-02-14,2013-03-28,2013-04-05,Bear,Bear,0
149,QQQ,train,2013-02-14,2013-03-28,2013-04-05,Bull,Bull,2
150,SPY,train,2013-02-14,2013-03-28,2013-04-05,Bull,Bull,2
151,TLT,train,2013-02-14,2013-03-28,2013-04-05,Bear,Bear,0
152,GLD,train,2013-02-22,2013-04-05,2013-04-12,Bear,Neutral,1
153,QQQ,train,2013-02-22,2013-04-05,2013-04-12,Bull,Bull,2
154,SPY,train,2013-02-22,2013-04-05,2013-04-12,Bull,Bull,2
155,TLT,train,2013-02-22,2013-04-05,2013-04-12,Bear,Neutral,1
156,GLD,train,2013-03-01,2013-04-12,2013-04-19,Neutral,Neutral,1
157,QQQ,train,2013-03-01,2013-04-12,2013-04-19,Bull,Bear,0
158,SPY,train,2013-03-01,2013-04-12,2013-04-19,Bull,Bear,0
159,TLT,train,2013-03-01,2013-04-12,2013-04-19,Neutral,Neutral,1
160,GLD,train,2013-03-08,2013-04-19,2013-04-26,Neutral,Bear,0
161,QQQ,train,2013-03-08,2013-04-19,2013-04-26,Bear,Bear,0
162,SPY,train,2013-03-08,2013-04-19,2013-04-26,Bear,Bull,2
163,TLT,train,2013-03-08,2013-04-19,2013-04-26,Neutral,Neutral,1
164,GLD,train,2013-03-15,2013-04-26,2013-05-03,Bear,Bear,0
165,QQQ,train,2013-03-15,2013-04-26,2013-05-03,Bear,Neutral,1
166,SPY,train,2013-03-15,2013-04-26,2013-05-03,Bull,Bull,2
167,TLT,train,2013-03-15,2013-04-26,2013-05-03,Neutral,Neutral,1
168,GLD,train,2013-03-22,2013-05-03,2013-05-10,Bear,Bear,0
169,QQQ,train,2013-03-22,2013-05-03,2013-05-10,Neutral,Neutral,1
170,SPY,train,2013-03-22,2013-05-03,2013-05-10,Bull,Bull,2
171,TLT,train,2013-03-22,2013-05-03,2013-05-10,Neutral,Neutral,1
172,GLD,train,2013-04-01,2013-05-10,2013-05-17,Bear,Bear,0
173,QQQ,train,2013-04-01,2013-05-10,2013-05-17,Neutral,Bull,2
174,SPY,train,2013-04-01,2013-05-10,2013-05-17,Bull,Bull,2
175,TLT,train,2013-04-01,2013-05-10,2013-05-17,Neutral,Neutral,1
176,GLD,train,2013-04-08,2013-05-17,2013-05-24,Bear,Bear,0
177,QQQ,train,2013-04-08,2013-05-17,2013-05-24,Bull,Bull,2
178,SPY,train,2013-04-08,2013-05-17,2013-05-24,Bull,Bull,2
179,TLT,train,2013-04-08,2013-05-17,2013-05-24,Neutral,Bear,0
180,GLD,train,2013-04-15,2013-05-24,2013-06-03,Bear,Bear,0
181,QQQ,train,2013-04-15,2013-05-24,2013-06-03,Bull,Bull,2
182,SPY,train,2013-04-15,2013-05-24,2013-06-03,Bull,Bull,2
183,TLT,train,2013-04-15,2013-05-24,2013-06-03,Bear,Bear,0
184,GLD,train,2013-04-22,2013-06-03,2013-06-10,Bear,Bear,0
185,QQQ,train,2013-04-22,2013-06-03,2013-06-10,Bull,Bull,2
186,SPY,train,2013-04-22,2013-06-03,2013-06-10,Bull,Bull,2
187,TLT,train,2013-04-22,2013-06-03,2013-06-10,Bear,Bear,0
188,GLD,train,2013-04-29,2013-06-10,2013-06-17,Bear,Bear,0
189,QQQ,train,2013-04-29,2013-06-10,2013-06-17,Bull,Bull,2
190,SPY,train,2013-04-29,2013-06-10,2013-06-17,Bull,Neutral,1
191,TLT,train,2013-04-29,2013-06-10,2013-06-17,Bear,Bear,0
192,GLD,train,2013-05-06,2013-06-17,2013-06-24,Bear,Bear,0
193,QQQ,train,2013-05-06,2013-06-17,2013-06-24,Bull,Neutral,1
194,SPY,train,2013-05-06,2013-06-17,2013-06-24,Neutral,Bear,0
195,TLT,train,2013-05-06,2013-06-17,2013-06-24,Bear,Bear,0
196,GLD,train,2013-05-13,2013-06-24,2013-07-01,Bear,Bear,0
197,QQQ,train,2013-05-13,2013-06-24,2013-07-01,Neutral,Neutral,1
198,SPY,train,2013-05-13,2013-06-24,2013-07-01,Bear,Bear,0
199,TLT,train,2013-05-13,2013-06-24,2013-07-01,Bear,Bear,0
200,GLD,train,2013-05-20,2013-07-01,2013-07-09,Bear,Bear,0
201,QQQ,train,2013-05-20,2013-07-01,2013-07-09,Neutral,Neutral,1
202,SPY,train,2013-05-20,2013-07-01,2013-07-09,Bear,Bear,0
203,TLT,train,2013-05-20,2013-07-01,2013-07-09,Bear,Bear,0
204,GLD,train,2013-05-28,2013-07-09,2013-07-16,Bear,Bear,0
205,QQQ,train,2013-05-28,2013-07-09,2013-07-16,Neutral,Neutral,1
206,SPY,train,2013-05-28,2013-07-09,2013-07-16,Bear,Neutral,1
207,TLT,train,2013-05-28,2013-07-09,2013-07-16,Bear,Neutral,1
208,GLD,train,2013-06-04,2013-07-16,2013-07-23,Bear,Bear,0
209,QQQ,train,2013-06-04,2013-07-16,2013-07-23,Neutral,Neutral,1
210,SPY,train,2013-06-04,2013-07-16,2013-07-23,Neutral,Neutral,1
211,TLT,train,2013-06-04,2013-07-16,2013-07-23,Neutral,Neutral,1
212,GLD,train,2013-06-11,2013-07-23,2013-07-30,Bear,Bear,0
213,QQQ,train,2013-06-11,2013-07-23,2013-07-30,Neutral,Bull,2
214,SPY,train,2013-06-11,2013-07-23,2013-07-30,Neutral,Bull,2
215,TLT,train,2013-06-11,2013-07-23,2013-07-30,Neutral,Bear,0
216,GLD,train,2013-06-18,2013-07-30,2013-08-06,Bear,Bear,0
217,QQQ,train,2013-06-18,2013-07-30,2013-08-06,Bull,Bull,2
218,SPY,train,2013-06-18,2013-07-30,2013-08-06,Bull,Bull,2
219,TLT,train,2013-06-18,2013-07-30,2013-08-06,Bear,Bear,0
220,GLD,train,2013-06-25,2013-08-06,2013-08-13,Bear,Neutral,1
221,QQQ,train,2013-06-25,2013-08-06,2013-08-13,Bull,Bull,2
222,SPY,train,2013-06-25,2013-08-06,2013-08-13,Bull,Bull,2
223,TLT,train,2013-06-25,2013-08-06,2013-08-13,Bear,Bear,0
224,GLD,train,2013-07-02,2013-08-13,2013-08-20,Neutral,Bull,2
225,QQQ,train,2013-07-02,2013-08-13,2013-08-20,Bull,Bull,2
226,SPY,train,2013-07-02,2013-08-13,2013-08-20,Bull,Neutral,1
227,TLT,train,2013-07-02,2013-08-13,2013-08-20,Bear,Bear,0
228,GLD,train,2013-07-10,2013-08-20,2013-08-27,Bull,Bull,2
229,QQQ,train,2013-07-10,2013-08-20,2013-08-27,Bull,Neutral,1
230,SPY,train,2013-07-10,2013-08-20,2013-08-27,Neutral,Bear,0
231,TLT,train,2013-07-10,2013-08-20,2013-08-27,Bear,Bear,0
232,GLD,train,2013-07-17,2013-08-27,2013-09-04,Bull,Bear,0
233,QQQ,train,2013-07-17,2013-08-27,2013-09-04,Neutral,Neutral,1
234,SPY,train,2013-07-17,2013-08-27,2013-09-04,Bear,Neutral,1
235,TLT,train,2013-07-17,2013-08-27,2013-09-04,Bear,Bear,0
236,GLD,train,2013-07-24,2013-09-04,2013-09-11,Bear,Bear,0
237,QQQ,train,2013-07-24,2013-09-04,2013-09-11,Neutral,Neutral,1
238,SPY,train,2013-07-24,2013-09-04,2013-09-11,Neutral,Bear,0
239,TLT,train,2013-07-24,2013-09-04,2013-09-11,Bear,Bear,0
240,GLD,train,2013-07-31,2013-09-11,2013-09-18,Bear,Bear,0
241,QQQ,train,2013-07-31,2013-09-11,2013-09-18,Neutral,Bull,2
242,SPY,train,2013-07-31,2013-09-11,2013-09-18,Bear,Neutral,1
243,TLT,train,2013-07-31,2013-09-11,2013-09-18,Bear,Bear,0
244,GLD,train,2013-08-07,2013-09-18,2013-09-25,Bear,Bull,2
245,QQQ,train,2013-08-07,2013-09-18,2013-09-25,Bull,Bull,2
246,SPY,train,2013-08-07,2013-09-18,2013-09-25,Neutral,Bear,0
247,TLT,train,2013-08-07,2013-09-18,2013-09-25,Bear,Bear,0
248,GLD,train,2013-08-14,2013-09-25,2013-10-02,Bull,Bull,2
249,QQQ,train,2013-08-14,2013-09-25,2013-10-02,Bull,Bull,2
250,SPY,train,2013-08-14,2013-09-25,2013-10-02,Bear,Bear,0
251,TLT,train,2013-08-14,2013-09-25,2013-10-02,Bear,Bear,0
252,GLD,train,2013-08-21,2013-10-02,2013-10-09,Bull,Bull,2
253,QQQ,train,2013-08-21,2013-10-02,2013-10-09,Bull,Neutral,1
254,SPY,train,2013-08-21,2013-10-02,2013-10-09,Bear,Bear,0
255,TLT,train,2013-08-21,2013-10-02,2013-10-09,Bear,Bear,0
256,GLD,train,2013-08-28,2013-10-09,2013-10-16,Bull,Bear,0
257,QQQ,train,2013-08-28,2013-10-09,2013-10-16,Neutral,Neutral,1
258,SPY,train,2013-08-28,2013-10-09,2013-10-16,Bear,Neutral,1
259,TLT,train,2013-08-28,2013-10-09,2013-10-16,Bear,Bear,0
260,GLD,train,2013-09-05,2013-10-16,2013-10-23,Bear,Bull,2
261,QQQ,train,2013-09-05,2013-10-16,2013-10-23,Neutral,Neutral,1
262,SPY,train,2013-09-05,2013-10-16,2013-10-23,Neutral,Neutral,1
263,TLT,train,2013-09-05,2013-10-16,2013-10-23,Bear,Neutral,1
264,GLD,train,2013-09-12,2013-10-23,2013-10-30,Bull,Bull,2
265,QQQ,train,2013-09-12,2013-10-23,2013-10-30,Neutral,Neutral,1
266,SPY,train,2013-09-12,2013-10-23,2013-10-30,Neutral,Neutral,1
267,TLT,train,2013-09-12,2013-10-23,2013-10-30,Neutral,Neutral,1
268,GLD,train,2013-09-19,2013-10-30,2013-11-06,Bull,Bull,2
269,QQQ,train,2013-09-19,2013-10-30,2013-11-06,Neutral,Bull,2
270,SPY,train,2013-09-19,2013-10-30,2013-11-06,Neutral,Bull,2
271,TLT,train,2013-09-19,2013-10-30,2013-11-06,Neutral,Neutral,1
272,GLD,train,2013-09-26,2013-11-06,2013-11-13,Bull,Neutral,1
273,QQQ,train,2013-09-26,2013-11-06,2013-11-13,Bull,Bull,2
274,SPY,train,2013-09-26,2013-11-06,2013-11-13,Bull,Bull,2
275,TLT,train,2013-09-26,2013-11-06,2013-11-13,Neutral,Neutral,1
276,GLD,train,2013-10-03,2013-11-13,2013-11-20,Neutral,Bear,0
277,QQQ,train,2013-10-03,2013-11-13,2013-11-20,Bull,Bull,2
278,SPY,train,2013-10-03,2013-11-13,2013-11-20,Bull,Bull,2
279,TLT,train,2013-10-03,2013-11-13,2013-11-20,Neutral,Neutral,1
280,GLD,train,2013-10-10,2013-11-20,2013-11-27,Bear,Bear,0
281,QQQ,train,2013-10-10,2013-11-20,2013-11-27,Bull,Bull,2
282,SPY,train,2013-10-10,2013-11-20,2013-11-27,Bull,Bull,2
283,TLT,train,2013-10-10,2013-11-20,2013-11-27,Neutral,Neutral,1
284,GLD,train,2013-10-17,2013-11-27,2013-12-05,Bear,Neutral,1
285,QQQ,train,2013-10-17,2013-11-27,2013-12-05,Bull,Bull,2
286,SPY,train,2013-10-17,2013-11-27,2013-12-05,Bull,Bull,2
287,TLT,train,2013-10-17,2013-11-27,2013-12-05,Neutral,Neutral,1
288,GLD,train,2013-10-24,2013-12-05,2013-12-12,Neutral,Neutral,1
289,QQQ,train,2013-10-24,2013-12-05,2013-12-12,Bull,Bull,2
290,SPY,train,2013-10-24,2013-12-05,2013-12-12,Bull,Bull,2
291,TLT,train,2013-10-24,2013-12-05,2013-12-12,Neutral,Neutral,1
292,GLD,train,2013-10-31,2013-12-12,2013-12-19,Neutral,Bear,0
293,QQQ,train,2013-10-31,2013-12-12,2013-12-19,Bull,Bull,2
294,SPY,train,2013-10-31,2013-12-12,2013-12-19,Bull,Bull,2
295,TLT,train,2013-10-31,2013-12-12,2013-12-19,Neutral,Neutral,1
296,GLD,train,2013-11-07,2013-12-19,2013-12-27,Bear,Bear,0
297,QQQ,train,2013-11-07,2013-12-19,2013-12-27,Bull,Bull,2
298,SPY,train,2013-11-07,2013-12-19,2013-12-27,Bull,Bull,2
299,TLT,train,2013-11-07,2013-12-19,2013-12-27,Neutral,Neutral,1
300,GLD,train,2013-11-14,2013-12-27,2014-01-06,Bear,Bear,0
301,QQQ,train,2013-11-14,2013-12-27,2014-01-06,Bull,Bull,2
302,SPY,train,2013-11-14,2013-12-27,2014-01-06,Bull,Bull,2
303,TLT,train,2013-11-14,2013-12-27,2014-01-06,Neutral,Neutral,1
304,GLD,train,2013-11-21,2014-01-06,2014-01-13,Bear,Neutral,1
305,QQQ,train,2013-11-21,2014-01-06,2014-01-13,Bull,Bull,2
306,SPY,train,2013-11-21,2014-01-06,2014-01-13,Bull,Bull,2
307,TLT,train,2013-11-21,2014-01-06,2014-01-13,Neutral,Neutral,1
308,GLD,train,2013-11-29,2014-01-13,2014-01-21,Neutral,Neutral,1
309,QQQ,train,2013-11-29,2014-01-13,2014-01-21,Bull,Bull,2
310,SPY,train,2013-11-29,2014-01-13,2014-01-21,Bull,Bull,2
311,TLT,train,2013-11-29,2014-01-13,2014-01-21,Neutral,Bear,0
312,GLD,train,2013-12-06,2014-01-21,2014-01-28,Neutral,Neutral,1
313,QQQ,train,2013-12-06,2014-01-21,2014-01-28,Bull,Neutral,1
314,SPY,train,2013-12-06,2014-01-21,2014-01-28,Bull,Neutral,1
315,TLT,train,2013-12-06,2014-01-21,2014-01-28,Bear,Bear,0
316,GLD,train,2013-12-13,2014-01-28,2014-02-04,Neutral,Neutral,1
317,QQQ,train,2013-12-13,2014-01-28,2014-02-04,Neutral,Neutral,1
318,SPY,train,2013-12-13,2014-01-28,2014-02-04,Neutral,Bear,0
319,TLT,train,2013-12-13,2014-01-28,2014-02-04,Bear,Bull,2
320,GLD,train,2013-12-20,2014-02-04,2014-02-11,Neutral,Bull,2
321,QQQ,train,2013-12-20,2014-02-04,2014-02-11,Neutral,Neutral,1
322,SPY,train,2013-12-20,2014-02-04,2014-02-11,Bear,Bear,0
323,TLT,train,2013-12-20,2014-02-04,2014-02-11,Bull,Bull,2
324,GLD,train,2013-12-30,2014-02-11,2014-02-19,Bull,Bull,2
325,QQQ,train,2013-12-30,2014-02-11,2014-02-19,Neutral,Neutral,1
326,SPY,train,2013-12-30,2014-02-11,2014-02-19,Bear,Bear,0
327,TLT,train,2013-12-30,2014-02-11,2014-02-19,Bull,Bull,2
328,GLD,train,2014-01-07,2014-02-19,2014-02-26,Bull,Bull,2
329,QQQ,train,2014-01-07,2014-02-19,2014-02-26,Neutral,Neutral,1
330,SPY,train,2014-01-07,2014-02-19,2014-02-26,Bear,Neutral,1
331,TLT,train,2014-01-07,2014-02-19,2014-02-26,Bull,Bull,2
332,GLD,train,2014-01-14,2014-02-26,2014-03-05,Bull,Bull,2
333,QQQ,train,2014-01-14,2014-02-26,2014-03-05,Neutral,Bull,2
334,SPY,train,2014-01-14,2014-02-26,2014-03-05,Neutral,Neutral,1
335,TLT,train,2014-01-14,2014-02-26,2014-03-05,Bull,Bull,2
336,GLD,train,2014-01-22,2014-03-05,2014-03-12,Bull,Bull,2
337,QQQ,train,2014-01-22,2014-03-05,2014-03-12,Bull,Bull,2
338,SPY,train,2014-01-22,2014-03-05,2014-03-12,Neutral,Neutral,1
339,TLT,train,2014-01-22,2014-03-05,2014-03-12,Bull,Bull,2
340,GLD,train,2014-01-29,2014-03-12,2014-03-19,Bull,Bull,2
341,QQQ,train,2014-01-29,2014-03-12,2014-03-19,Bull,Neutral,1
342,SPY,train,2014-01-29,2014-03-12,2014-03-19,Neutral,Neutral,1
343,TLT,train,2014-01-29,2014-03-12,2014-03-19,Bull,Bull,2
344,GLD,train,2014-02-05,2014-03-19,2014-03-26,Bull,Bull,2
345,QQQ,train,2014-02-05,2014-03-19,2014-03-26,Neutral,Bull,2
346,SPY,train,2014-02-05,2014-03-19,2014-03-26,Neutral,Bull,2
347,TLT,train,2014-02-05,2014-03-19,2014-03-26,Bull,Bull,2
348,GLD,train,2014-02-12,2014-03-26,2014-04-02,Bull,Bull,2
